model,train_r2,test_r2,test_mae,test_mse,test_rmse,gap
Poly + Lasso,0.9301160155341401,0.8956266809842848,50.98596633972226,5073.958039353213,71.23172073839865,0.034489334549855366
XGBoost,0.9842380285263062,0.8821640610694885,51.68380355834961,5728.4228515625,75.68634521208234,0.10207396745681763
Poly + Ridge,0.9244698423544923,0.8817291258877539,52.297557489268755,5749.567592392145,75.8259031755781,0.04274071646673838
Random Forest,0.9755693827643693,0.8477128576843547,57.816429924408844,7403.21930287809,86.04196245366612,0.12785652508001466
Decision Tree,0.9255692712291752,0.8257331036161324,60.40754782436511,8471.733276652085,92.04201908178723,0.09983616761304281
Linear Regression,0.6893095704931622,0.6317049793016188,98.73189092849778,17904.130085629855,133.8063155670533,0.057604591191543375
Ridge,0.6893095704931562,0.6317049657558714,98.73189245945613,17904.130744136786,133.80631802772538,0.05760460473728479
Lasso,0.6893095671018491,0.631698948217581,98.7304274598933,17904.42327806283,133.80741114774932,0.057610618884268106
